MES,SUDESTE,SUL,NORDESTE,NORTE
jan.-01,"56,92","56,92","33,87","33,87"
fev.-01,"160,29","154,17","121,47","121,47"
mar.-01,"165,97","151,6","154,21","154,21"
abr.-01,"252,18","242,66","247,35","247,35"
mai.-01,"459,89","420,22","440,99","440,99"
jun.-01,684,"67,63",684,"549,42"
jul.-01,684,"53,64",684,684
ago.-01,684,"46,2",684,684
set.-01,"579,6","74,25","647,45","579,6"
out.-01,336,"13,62","562,15",336
nov.-01,336,"38,05","562,15",336
dez.-01,336,"26,4","562,15",336
jan.-02,"297,05","50,49","515,17","4,04"
fev.-02,"43,86","8,02","319,41","4,45"
mar.-02,"9,77","9,11","5,79","5,79"
abr.-02,"14,58",15,"6,97","9,12"
mai.-02,"19,53","20,23","4,12","10,4"
jun.-02,"13,39","11,83","7,73","7,01"
jul.-02,"16,67","16,9","16,45","13,62"
ago.-02,"11,32","11,83","12,87","11,22"
set.-02,"5,82","5,97","5,35","5,35"
out.-02,"4,84","4,63","4,65","4,65"
nov.-02,"6,44","4,54",6,"6,34"
dez.-02,"5,05","4,23","5,2","6,31"
jan.-03,"4,05","4,02","4,33","4,29"
fev.-03,4,4,4,4
mar.-03,4,4,4,4
abr.-03,"5,48","5,48","5,48","5,48"
mai.-03,"7,3","7,3","6,34","6,23"
jun.-03,"11,22","11,22","10,53","10,43"
jul.-03,"13,14","13,92","9,87","13,1"
ago.-03,"16,95","18,56","13,37","16,89"
set.-03,"18,3","20,52","15,44","18,3"
out.-03,"25,82","26,3","19,88","25,73"
nov.-03,"28,03","29,85","24,7","27,91"
dez.-03,"20,18","20,18","49,41","19,93"
jan.-04,"23,68","23,68","294,09","21,48"
fev.-04,"18,59","18,59","18,59","18,59"
mar.-04,"18,59","18,59","18,59","18,59"
abr.-04,"18,59","18,59","18,59","18,59"
mai.-04,"18,59","18,59","18,59","18,59"
jun.-04,"18,59","18,59","18,59","18,59"
jul.-04,"18,59","18,59","18,59","18,59"
ago.-04,"18,59","18,59","18,59","18,59"
set.-04,"18,59","18,59","18,59","18,59"
out.-04,"18,75","18,75","18,59","18,75"
nov.-04,"18,59","18,59","18,59","18,59"
dez.-04,"18,59","18,59","18,59","18,59"
jan.-05,"18,33","18,33","18,33","18,33"
fev.-05,"18,33","18,99","18,33","18,33"
mar.-05,"18,33","27,3","18,33","18,33"
abr.-05,"24,88","83,97","18,33","18,87"
mai.-05,"43,96","79,35","18,33","20,28"
jun.-05,"26,45","24,07","18,33","25,42"
jul.-05,"31,74","31,56","18,33","31,74"
ago.-05,"34,51","34,51","18,5","34,51"
set.-05,"31,94","29,42","18,4","31,94"
out.-05,"43,12","18,83","18,86","43,12"
nov.-05,"35,73","24,17","19,79","35,73"
dez.-05,"19,2","19,19","18,4","19,2"
jan.-06,"28,64","28,78","19,14","19,14"
fev.-06,"58,02","63,63","37,62","29,2"
mar.-06,"28,56","42,67","36,1","18,94"
abr.-06,"20,87","21,06","16,92","16,92"
mai.-06,"51,91","52,51","19,79","16,97"
jun.-06,"67,89","70,01","23,44","44,84"
