mes,submercado,compra_mwm,preco_compra,venda_mwm,preco_venda
2021-10-01,N,0.0,571.97,100.0,560.64
2021-11-01,N,0.0,516.49,100.0,506.26
2021-12-01,N,0.0,266.66,100.0,261.38
2022-01-01,N,0.0,167.18,100.0,163.87
2022-02-01,N,0.0,112.52,100.0,110.29
2022-03-01,N,0.0,83.01,100.0,81.37
2022-04-01,N,0.0,47.64,100.0,46.69
2022-05-01,N,0.0,43.3,100.0,42.45
2022-06-01,N,0.0,60.63,100.0,59.43
2022-07-01,N,0.0,69.21,100.0,67.84
2022-08-01,N,0.0,67.98,100.0,66.64
2022-09-01,N,0.0,70.59,100.0,69.19
2022-10-01,N,0.0,73.17,100.0,71.72
2022-11-01,N,0.0,74.54,100.0,73.06
2022-12-01,N,0.0,40.17,100.0,39.37
2023-01-01,N,0.0,27.16,100.0,26.62
2023-02-01,N,0.0,19.18,100.0,18.8
2023-03-01,N,0.0,14.45,100.0,14.16
2023-04-01,N,0.0,10.1,100.0,9.9
2023-05-01,N,0.0,9.8,100.0,9.61
2023-06-01,N,0.0,17.31,100.0,16.96
2023-07-01,N,0.0,22.42,100.0,21.98
2023-08-01,N,0.0,22.28,100.0,21.84
2023-09-01,N,0.0,22.76,100.0,22.31
2023-10-01,N,0.0,25.01,100.0,24.51
2023-11-01,N,0.0,23.73,100.0,23.26
2023-12-01,N,0.0,14.39,100.0,14.1
2024-01-01,N,0.0,10.88,100.0,10.66
2024-02-01,N,0.0,8.08,100.0,7.92
2024-03-01,N,0.0,7.56,100.0,7.41
2024-04-01,N,0.0,6.34,100.0,6.22
2024-05-01,N,0.0,7.17,100.0,7.03
2024-06-01,N,0.0,14.6,100.0,14.31
2024-07-01,N,0.0,20.01,100.0,19.62
2024-08-01,N,0.0,20.36,100.0,19.96
2024-09-01,N,0.0,19.05,100.0,18.68
2024-10-01,N,0.0,20.74,100.0,20.33
2024-11-01,N,0.0,18.83,100.0,18.46
2024-12-01,N,0.0,13.56,100.0,13.29
2025-01-01,N,0.0,11.72,100.0,11.48
2025-02-01,N,0.0,9.53,100.0,9.34
2025-03-01,N,0.0,8.94,100.0,8.76
2025-04-01,N,0.0,9.75,100.0,9.56
2025-05-01,N,0.0,10.2,100.0,10.0
2025-06-01,N,0.0,18.58,100.0,18.21
2025-07-01,N,0.0,22.16,100.0,21.72
2025-08-01,N,0.0,21.82,100.0,21.39
2025-09-01,N,0.0,21.21,100.0,20.79
2025-10-01,N,0.0,20.37,100.0,19.96
2025-11-01,N,0.0,18.68,100.0,18.31
2025-12-01,N,0.0,14.52,100.0,14.24
2021-10-01,S,0.0,571.78,100.0,560.46
2021-11-01,S,0.0,516.16,100.0,505.94
2021-12-01,S,0.0,265.39,100.0,260.13
2022-01-01,S,0.0,168.47,100.0,165.13
2022-02-01,S,0.0,121.07,100.0,118.67
2022-03-01,S,0.0,101.86,100.0,99.84
2022-04-01,S,0.0,68.87,100.0,67.51
2022-05-01,S,0.0,57.42,100.0,56.28
2022-06-01,S,0.0,61.15,100.0,59.94
2022-07-01,S,0.0,70.39,100.0,69.0
2022-08-01,S,0.0,69.95,100.0,68.57
2022-09-01,S,0.0,72.36,100.0,70.93
2022-10-01,S,0.0,74.55,100.0,73.08
2022-11-01,S,0.0,73.27,100.0,71.82
2022-12-01,S,0.0,39.76,100.0,38.97
2023-01-01,S,0.0,27.84,100.0,27.29
2023-02-01,S,0.0,22.1,100.0,21.66
2023-03-01,S,0.0,19.82,100.0,19.43
2023-04-01,S,0.0,15.45,100.0,15.14
2023-05-01,S,0.0,12.94,100.0,12.68
2023-06-01,S,0.0,17.33,100.0,16.99
2023-07-01,S,0.0,22.42,100.0,21.98
2023-08-01,S,0.0,22.28,100.0,21.84
2023-09-01,S,0.0,22.76,100.0,22.31
2023-10-01,S,0.0,24.99,100.0,24.5
2023-11-01,S,0.0,23.73,100.0,23.26
2023-12-01,S,0.0,14.41,100.0,14.13
2024-01-01,S,0.0,11.04,100.0,10.82
2024-02-01,S,0.0,8.74,100.0,8.57
2024-03-01,S,0.0,7.76,100.0,7.61
2024-04-01,S,0.0,6.47,100.0,6.34
2024-05-01,S,0.0,7.3,100.0,7.15
2024-06-01,S,0.0,14.6,100.0,14.31
2024-07-01,S,0.0,20.01,100.0,19.62
2024-08-01,S,0.0,20.41,100.0,20.01
2024-09-01,S,0.0,19.05,100.0,18.68
2024-10-01,S,0.0,20.6,100.0,20.19
2024-11-01,S,0.0,18.84,100.0,18.46
2024-12-01,S,0.0,13.56,100.0,13.29
2025-01-01,S,0.0,11.72,100.0,11.49
2025-02-01,S,0.0,9.55,100.0,9.36
2025-03-01,S,0.0,9.39,100.0,9.21
2025-04-01,S,0.0,9.86,100.0,9.66
2025-05-01,S,0.0,10.33,100.0,10.12
2025-06-01,S,0.0,18.58,100.0,18.21
2025-07-01,S,0.0,22.16,100.0,21.72
2025-08-01,S,0.0,21.82,100.0,21.39
2025-09-01,S,0.0,21.21,100.0,20.79
2025-10-01,S,0.0,20.37,100.0,19.96
2025-11-01,S,0.0,18.68,100.0,18.31
2025-12-01,S,0.0,14.53,100.0,14.24
2021-11-01,SE,4.87,521.15,0.0,510.83
