mes,submercado,producao_mwm,compra_existente_mwm,venda_existente_mwm,compra_nova_mwm,venda_nova_mwm,exposicao_final_mwm
2021-01-01,NE,4.46,0.0,8.83,0.0,0.0,-4.37
2021-01-01,SE,23.56,0.0,21.34,0.0,0.0,2.22
2021-02-01,NE,9.83,0.0,8.83,0.0,0.0,1.0
2021-02-01,SE,24.51,0.0,21.34,0.0,0.0,3.17
2021-03-01,NE,9.7,0.0,8.83,0.0,0.0,0.87
2021-03-01,SE,24.1,0.0,21.34,0.0,0.0,2.76
2021-04-01,NE,8.58,0.0,8.83,0.0,0.0,-0.25
2021-04-01,SE,33.31,0.0,21.34,0.0,0.0,11.97
2021-05-01,NE,14.18,0.0,8.83,0.0,0.0,5.35
2021-05-01,SE,30.9,0.0,21.34,0.0,0.0,9.56
2021-06-01,NE,17.03,0.0,8.83,0.0,0.0,8.2
2021-06-01,SE,29.32,0.0,21.34,0.0,0.0,7.98
2021-07-01,NE,17.21,0.0,8.83,0.0,0.0,8.38
2021-07-01,SE,28.63,0.0,21.34,0.0,0.0,7.29
2021-08-01,NE,17.0,0.0,8.83,0.0,0.0,8.17
2021-08-01,SE,27.24,0.0,21.34,0.0,0.0,5.9
2021-09-01,NE,16.48,0.0,8.83,0.0,0.0,7.65
2021-09-01,SE,27.95,0.0,21.34,0.0,0.0,6.61
2021-10-01,NE,13.02,0.0,8.83,0.0,0.0,4.19
2021-10-01,SE,21.82,0.0,21.34,0.0,0.0,0.48
2021-11-01,NE,10.28,0.0,8.83,0.0,0.0,1.45
2021-11-01,SE,23.4,0.0,21.34,4.87,0.0,6.93
2021-12-01,NE,8.4,0.0,8.83,0.0,0.0,-0.43
2021-12-01,SE,20.12,0.0,21.34,0.0,0.0,-1.22
2022-01-01,NE,4.46,0.0,8.83,0.0,0.0,-4.37
2022-01-01,SE,23.63,0.0,21.34,0.0,0.0,2.29
2022-02-01,NE,9.85,0.0,8.83,0.0,0.0,1.02
2022-02-01,SE,24.58,0.0,21.34,0.0,0.0,3.24
