data,submercado,usina_cod,geracao_mwm
2021-01-01,SE,202,150.44
2021-02-01,SE,202,163.19
2021-03-01,SE,202,193.24
2021-04-01,SE,202,255.45
2021-05-01,SE,202,201.77
2021-06-01,SE,202,206.31
2021-07-01,SE,202,297.23
2021-08-01,SE,202,325.18
2021-09-01,SE,202,308.6
2021-10-01,SE,202,336.58
2021-11-01,SE,202,242.14
2021-12-01,SE,202,167.92
2022-01-01,SE,202,146.78
2022-02-01,SE,202,133.82
2022-03-01,SE,202,150.18
2022-04-01,SE,202,209.22
2022-05-01,SE,202,185.68
2022-06-01,SE,202,232.61
2022-07-01,SE,202,148.83
2022-08-01,SE,202,240.54
2022-09-01,SE,202,375.64
2022-10-01,SE,202,318.22
2022-11-01,SE,202,296.41
2022-12-01,SE,202,151.03
2023-01-01,SE,202,135.51
2023-02-01,SE,202,167.31
2023-03-01,SE,202,160.59
2023-04-01,SE,202,230.02
2023-05-01,SE,202,194.2
2023-06-01,SE,202,203.55
2023-07-01,SE,202,167.11
2023-08-01,SE,202,367.3
2023-09-01,SE,202,324.4
2023-10-01,SE,202,298.35
2023-11-01,SE,202,373.6
2023-12-01,SE,202,154.62
2024-01-01,SE,202,146.31
2024-02-01,SE,202,133.05
2024-03-01,SE,202,157.38
2024-04-01,SE,202,226.05
2024-05-01,SE,202,221.87
2024-06-01,SE,202,225.76
2024-07-01,SE,202,196.11
2024-08-01,SE,202,283.69
2024-09-01,SE,202,273.64
2024-10-01,SE,202,306.42
2024-11-01,SE,202,242.42
2024-12-01,SE,202,194.74
2025-01-01,SE,202,148.24
2025-02-01,SE,202,136.3
2025-03-01,SE,202,187.36
2025-04-01,SE,202,213.15
2025-05-01,SE,202,192.62
2025-06-01,SE,202,246.88
2025-07-01,SE,202,264.52
2025-08-01,SE,202,331.54
2025-09-01,SE,202,295.79
2025-10-01,SE,202,316.23
2025-11-01,SE,202,323.38
2025-12-01,SE,202,193.31
