data,submercado,preco_compra,preco_venda,limite_compra,limite_venda
2021-10-01,N,571.97,560.64,100,100
2021-11-01,N,516.49,506.26,100,100
2021-12-01,N,266.66,261.38,100,100
2022-01-01,N,167.18,163.87,100,100
2022-02-01,N,112.52,110.29,100,100
2022-03-01,N,83.01,81.37,100,100
2022-04-01,N,47.64,46.69,100,100
2022-05-01,N,43.3,42.45,100,100
2022-06-01,N,60.63,59.43,100,100
2022-07-01,N,69.21,67.84,100,100
2022-08-01,N,67.98,66.64,100,100
2022-09-01,N,70.59,69.19,100,100
2022-10-01,N,73.17,71.72,100,100
2022-11-01,N,74.54,73.06,100,100
2022-12-01,N,40.17,39.37,100,100
2023-01-01,N,27.16,26.62,100,100
2023-02-01,N,19.18,18.8,100,100
2023-03-01,N,14.45,14.16,100,100
2023-04-01,N,10.1,9.9,100,100
2023-05-01,N,9.8,9.61,100,100
2023-06-01,N,17.31,16.96,100,100
2023-07-01,N,22.42,21.98,100,100
2023-08-01,N,22.28,21.84,100,100
2023-09-01,N,22.76,22.31,100,100
2023-10-01,N,25.01,24.51,100,100
2023-11-01,N,23.73,23.26,100,100
2023-12-01,N,14.39,14.1,100,100
2024-01-01,N,10.88,10.66,100,100
2024-02-01,N,8.08,7.92,100,100
2024-03-01,N,7.56,7.41,100,100
2024-04-01,N,6.34,6.22,100,100
2024-05-01,N,7.17,7.03,100,100
2024-06-01,N,14.6,14.31,100,100
2024-07-01,N,20.01,19.62,100,100
2024-08-01,N,20.36,19.96,100,100
2024-09-01,N,19.05,18.68,100,100
2024-10-01,N,20.74,20.33,100,100
2024-11-01,N,18.83,18.46,100,100
2024-12-01,N,13.56,13.29,100,100
2025-01-01,N,11.72,11.48,100,100
2025-02-01,N,9.53,9.34,100,100
2025-03-01,N,8.94,8.76,100,100
2025-04-01,N,9.75,9.56,100,100
2025-05-01,N,10.2,10.0,100,100
2025-06-01,N,18.58,18.21,100,100
2025-07-01,N,22.16,21.72,100,100
2025-08-01,N,21.82,21.39,100,100
2025-09-01,N,21.21,20.79,100,100
2025-10-01,N,20.37,19.96,100,100
2025-11-01,N,18.68,18.31,100,100
2025-12-01,N,14.52,14.24,100,100
2021-10-01,NE,571.97,560.64,100,100
2021-11-01,NE,516.49,506.26,100,100
2021-12-01,NE,266.63,261.36,100,100
2022-01-01,NE,167.37,164.06,100,100
2022-02-01,NE,116.71,114.4,100,100
2022-03-01,NE,95.57,93.67,100,100
2022-04-01,NE,65.24,63.95,100,100
2022-05-01,NE,54.2,53.13,100,100
2022-06-01,NE,60.52,59.32,100,100
2022-07-01,NE,68.13,66.78,100,100
2022-08-01,NE,67.27,65.94,100,100
2022-09-01,NE,69.52,68.15,100,100
2022-10-01,NE,72.6,71.16,100,100
2022-11-01,NE,73.88,72.42,100,100
2022-12-01,NE,39.61,38.82,100,100
2023-01-01,NE,27.23,26.69,100,100
2023-02-01,NE,20.72,20.31,100,100
2023-03-01,NE,17.76,17.41,100,100
2023-04-01,NE,15.07,14.77,100,100
2023-05-01,NE,12.94,12.69,100,100
2023-06-01,NE,17.34,17.0,100,100
2023-07-01,NE,22.42,21.97,100,100
2023-08-01,NE,22.2,21.76,100,100
2023-09-01,NE,22.75,22.3,100,100
2023-10-01,NE,25.0,24.51,100,100
2023-11-01,NE,23.72,23.25,100,100
2023-12-01,NE,14.39,14.1,100,100
2024-01-01,NE,10.97,10.75,100,100
2024-02-01,NE,8.65,8.48,100,100
2024-03-01,NE,7.58,7.43,100,100
2024-04-01,NE,6.42,6.3,100,100
2024-05-01,NE,7.3,7.15,100,100
2024-06-01,NE,14.6,14.31,100,100
2024-07-01,NE,20.01,19.61,100,100
2024-08-01,NE,20.36,19.96,100,100
2024-09-01,NE,19.05,18.67,100,100
2024-10-01,NE,20.74,20.33,100,100
2024-11-01,NE,18.83,18.46,100,100
2024-12-01,NE,13.56,13.29,100,100
2025-01-01,NE,11.72,11.48,100,100
2025-02-01,NE,9.53,9.34,100,100
2025-03-01,NE,8.94,8.76,100,100
2025-04-01,NE,9.75,9.56,100,100
2025-05-01,NE,10.33,10.12,100,100
2025-06-01,NE,18.58,18.21,100,100
2025-07-01,NE,22.16,21.72,100,100
2025-08-01,NE,21.82,21.38,100,100
2025-09-01,NE,21.21,20.79,100,100
2025-10-01,NE,20.36,19.96,100,100
2025-11-01,NE,18.68,18.31,100,100
2025-12-01,NE,14.52,14.24,100,100
2021-10-01,S,571.78,560.46,100,100
2021-11-01,S,516.16,505.94,100,100
2021-12-01,S,265.39,260.13,100,100
2022-01-01,S,168.47,165.13,100,100
2022-02-01,S,121.07,118.67,100,100
2022-03-01,S,101.86,99.84,100,100
2022-04-01,S,68.87,67.51,100,100
2022-05-01,S,57.42,56.28,100,100
2022-06-01,S,61.15,59.94,100,100
2022-07-01,S,70.39,69.0,100,100
2022-08-01,S,69.95,68.57,100,100
2022-09-01,S,72.36,70.93,100,100
2022-10-01,S,74.55,73.08,100,100
2022-11-01,S,73.27,71.82,100,100
2022-12-01,S,39.76,38.97,100,100
2023-01-01,S,27.84,27.29,100,100
2023-02-01,S,22.1,21.66,100,100
2023-03-01,S,19.82,19.43,100,100
2023-04-01,S,15.45,15.14,100,100
2023-05-01,S,12.94,12.68,100,100
2023-06-01,S,17.33,16.99,100,100
2023-07-01,S,22.42,21.98,100,100
2023-08-01,S,22.28,21.84,100,100
2023-09-01,S,22.76,22.31,100,100
2023-10-01,S,24.99,24.5,100,100
2023-11-01,S,23.73,23.26,100,100
2023-12-01,S,14.41,14.13,100,100
2024-01-01,S,11.04,10.82,100,100
2024-02-01,S,8.74,8.57,100,100
2024-03-01,S,7.76,7.61,100,100
2024-04-01,S,6.47,6.34,100,100
2024-05-01,S,7.3,7.15,100,100
2024-06-01,S,14.6,14.31,100,100
2024-07-01,S,20.01,19.62,100,100
2024-08-01,S,20.41,20.01,100,100
2024-09-01,S,19.05,18.68,100,100
