ticker,data,submercado,duracao_meses,preco_compra,preco_venda,limite_compra,limite_venda
N26JAN1,2026-01-01,N,1,145.35,136.88,100,100
N26FEV1,2026-02-01,N,1,118.08,111.2,100,100
N26MAR1,2026-03-01,N,1,110.9,104.44,100,100
N26ABR1,2026-04-01,N,1,105.6,99.45,100,100
N26MAI1,2026-05-01,N,1,127.38,119.96,100,100
N26JUN1,2026-06-01,N,1,160.01,150.69,100,100
N26JUL1,2026-07-01,N,1,182.96,172.3,100,100
N26AGO1,2026-08-01,N,1,193.84,182.54,100,100
N26SET1,2026-09-01,N,1,218.48,205.75,100,100
N26OUT1,2026-10-01,N,1,221.08,208.21,100,100
N26NOV1,2026-11-01,N,1,202.62,190.81,100,100
N26DEZ1,2026-12-01,N,1,159.4,150.12,100,100
N27JAN1,2027-01-01,N,1,153.45,144.51,100,100
N27FEV1,2027-02-01,N,1,122.63,115.48,100,100
N27MAR1,2027-03-01,N,1,115.47,108.75,100,100
N27ABR1,2027-04-01,N,1,109.65,103.26,100,100
N27MAI1,2027-05-01,N,1,132.73,125.0,100,100
N27JUN1,2027-06-01,N,1,166.58,156.87,100,100
N27JUL1,2027-07-01,N,1,187.34,176.43,100,100
N27AGO1,2027-08-01,N,1,199.71,188.08,100,100
N27SET1,2027-09-01,N,1,225.92,212.76,100,100
N27OUT1,2027-10-01,N,1,229.6,216.23,100,100
N27NOV1,2027-11-01,N,1,206.74,194.7,100,100
N27DEZ1,2027-12-01,N,1,165.28,155.65,100,100
N28JAN1,2028-01-01,N,1,150.77,141.99,100,100
N28FEV1,2028-02-01,N,1,121.61,114.53,100,100
N28MAR1,2028-03-01,N,1,116.58,109.79,100,100
N28ABR1,2028-04-01,N,1,110.76,104.31,100,100
N28MAI1,2028-05-01,N,1,134.54,126.71,100,100
N28JUN1,2028-06-01,N,1,163.53,154.01,100,100
N28JUL1,2028-07-01,N,1,184.78,174.02,100,100
N28AGO1,2028-08-01,N,1,196.88,185.41,100,100
N28SET1,2028-09-01,N,1,228.28,214.99,100,100
N28OUT1,2028-10-01,N,1,227.39,214.14,100,100
N28NOV1,2028-11-01,N,1,206.28,194.27,100,100
N28DEZ1,2028-12-01,N,1,165.13,155.51,100,100
N29JAN1,2029-01-01,N,1,155.69,146.62,100,100
N29FEV1,2029-02-01,N,1,127.39,119.97,100,100
N29MAR1,2029-03-01,N,1,118.98,112.05,100,100
N29ABR1,2029-04-01,N,1,111.28,104.8,100,100
N29MAI1,2029-05-01,N,1,131.58,123.92,100,100
