mes,no,no_pai,pld_sub,exposicao_sub,ticker,compra_mwm,venda_mwm,saldo_mi
2026-01-01,2,1,131.76,-9.802944e6,N26JAN1,0.0,100.0,37.681
2026-01-01,2,1,131.76,0.0,N26JAN3,0.0,0.0,37.681
2026-01-01,2,1,131.76,9.802944e6,N26JAN6,100.0,0.0,37.681
2026-01-01,2,1,151.19,-1.1248536e7,NE26JAN1,0.0,100.0,37.681
2026-01-01,2,1,151.19,1.1248536e7,NE26JAN3,100.0,0.0,37.681
2026-01-01,2,1,151.19,1.1248536e7,NE26JAN6,100.0,0.0,37.681
2026-01-01,2,1,57.31,-4.263864e6,S26JAN1,0.0,100.0,37.681
2026-01-01,2,1,57.31,-4.263864e6,S26JAN3,0.0,100.0,37.681
2026-01-01,2,1,57.31,-4.263864e6,S26JAN6,0.0,100.0,37.681
2026-01-01,2,1,213.7,1.589928e7,SE26JAN1,100.0,0.0,37.681
2026-01-01,2,1,213.7,1.589928e7,SE26JAN3,100.0,0.0,37.681
2026-01-01,2,1,213.7,1.589928e7,SE26JAN6,100.0,0.0,37.681
2026-01-01,3,1,57.31,-4.263864e6,N26JAN1,-0.0,100.0,-7.274
2026-01-01,3,1,57.31,0.0,N26JAN3,-0.0,-0.0,-7.274
2026-01-01,3,1,57.31,4.263864e6,N26JAN6,100.0,-0.0,-7.274
2026-01-01,3,1,57.31,-4.263864e6,NE26JAN1,-0.0,100.0,-7.274
2026-01-01,3,1,57.31,4.263864e6,NE26JAN3,100.0,-0.0,-7.274
2026-01-01,3,1,57.31,4.263864e6,NE26JAN6,100.0,-0.0,-7.274
2026-01-01,3,1,57.31,-4.263864e6,S26JAN1,-0.0,100.0,-7.274
2026-01-01,3,1,57.31,-4.263864e6,S26JAN3,-0.0,100.0,-7.274
2026-01-01,3,1,57.31,-4.263864e6,S26JAN6,-0.0,100.0,-7.274
2026-01-01,3,1,57.31,4.263864e6,SE26JAN1,100.0,-0.0,-7.274
2026-01-01,3,1,57.31,4.263864e6,SE26JAN3,100.0,-0.0,-7.274
2026-01-01,3,1,57.31,4.263864e6,SE26JAN6,100.0,-0.0,-7.274
2026-01-01,4,1,115.06,-8.560464e6,N26JAN1,-0.0,100.0,21.416
2026-01-01,4,1,115.06,0.0,N26JAN3,-0.0,-0.0,21.416
2026-01-01,4,1,115.06,8.560464e6,N26JAN6,100.0,-0.0,21.416
2026-01-01,4,1,250.96,-1.8671424e7,NE26JAN1,-0.0,100.0,21.416
2026-01-01,4,1,250.96,1.8671424e7,NE26JAN3,100.0,-0.0,21.416
2026-01-01,4,1,250.96,1.8671424e7,NE26JAN6,100.0,-0.0,21.416
2026-01-01,4,1,166.5,-1.23876e7,S26JAN1,-0.0,100.0,21.416
2026-01-01,4,1,166.5,-1.23876e7,S26JAN3,-0.0,100.0,21.416
2026-01-01,4,1,166.5,-1.23876e7,S26JAN6,-0.0,100.0,21.416
2026-01-01,4,1,214.49,1.5958056e7,SE26JAN1,100.0,-0.0,21.416
2026-01-01,4,1,214.49,1.5958056e7,SE26JAN3,100.0,-0.0,21.416
2026-01-01,4,1,214.49,1.5958056e7,SE26JAN6,100.0,-0.0,21.416
2026-02-01,5,2,157.06,-1.0554432e7,N26FEV1,0.0,100.0,149.727
2026-02-01,5,2,157.06,1.0554432e7,N26FEV3,100.0,0.0,149.727
2026-02-01,5,2,157.06,1.0554432e7,N26FEV6,100.0,0.0,149.727
2026-02-01,5,2,236.66,0.0,NE26FEV1,0.0,0.0,149.727
2026-02-01,5,2,236.66,1.5903552e7,NE26FEV3,100.0,0.0,149.727
2026-02-01,5,2,236.66,1.5903552e7,NE26FEV6,100.0,0.0,149.727
2026-02-01,5,2,84.7,-5.69184e6,S26FEV1,0.0,100.0,149.727
2026-02-01,5,2,84.7,-5.69184e6,S26FEV3,0.0,100.0,149.727
2026-02-01,5,2,84.7,-5.69184e6,S26FEV6,0.0,100.0,149.727
2026-02-01,5,2,328.81,2.2096032e7,SE26FEV1,100.0,0.0,149.727
2026-02-01,5,2,328.81,2.2096032e7,SE26FEV3,100.0,0.0,149.727
2026-02-01,5,2,328.81,2.2096032e7,SE26FEV6,100.0,0.0,149.727
2026-02-01,6,2,57.31,-3.851232e6,N26FEV1,-0.0,100.0,0.923
2026-02-01,6,2,57.31,3.851232e6,N26FEV3,100.0,-0.0,0.923
2026-02-01,6,2,57.31,3.851232e6,N26FEV6,100.0,-0.0,0.923
2026-02-01,6,2,57.31,0.0,NE26FEV1,-0.0,-0.0,0.923
2026-02-01,6,2,57.31,3.851232e6,NE26FEV3,100.0,-0.0,0.923
2026-02-01,6,2,57.31,3.851232e6,NE26FEV6,100.0,-0.0,0.923
2026-02-01,6,2,57.31,-3.851232e6,S26FEV1,-0.0,100.0,0.923
2026-02-01,6,2,57.31,-3.851232e6,S26FEV3,-0.0,100.0,0.923
2026-02-01,6,2,57.31,-3.851232e6,S26FEV6,-0.0,100.0,0.923
2026-02-01,6,2,57.31,3.851232e6,SE26FEV1,100.0,-0.0,0.923
2026-02-01,6,2,57.31,3.851232e6,SE26FEV3,100.0,-0.0,0.923
2026-02-01,6,2,57.31,3.851232e6,SE26FEV6,100.0,-0.0,0.923
2026-02-01,7,2,102.42,-6.882624e6,N26FEV1,-0.0,100.0,64.018
2026-02-01,7,2,102.42,6.882624e6,N26FEV3,100.0,-0.0,64.018
2026-02-01,7,2,102.42,6.882624e6,N26FEV6,100.0,-0.0,64.018
2026-02-01,7,2,221.3,0.0,NE26FEV1,-0.0,-0.0,64.018
2026-02-01,7,2,221.3,1.487136e7,NE26FEV3,100.0,-0.0,64.018
2026-02-01,7,2,221.3,1.487136e7,NE26FEV6,100.0,-0.0,64.018
2026-02-01,7,2,194.57,-1.3075104e7,S26FEV1,-0.0,100.0,64.018
2026-02-01,7,2,194.57,-1.3075104e7,S26FEV3,-0.0,100.0,64.018
2026-02-01,7,2,194.57,-1.3075104e7,S26FEV6,-0.0,100.0,64.018
2026-02-01,7,2,221.75,1.49016e7,SE26FEV1,100.0,-0.0,64.018
2026-02-01,7,2,221.75,1.49016e7,SE26FEV3,100.0,-0.0,64.018
2026-02-01,7,2,221.75,1.49016e7,SE26FEV6,100.0,-0.0,64.018
2026-02-01,8,3,157.06,-1.0554432e7,N26FEV1,0.0,100.0,102.179
2026-02-01,8,3,157.06,1.0554432e7,N26FEV3,100.0,0.0,102.179
2026-02-01,8,3,157.06,-3.58178657e6,N26FEV6,0.0,33.9363,102.179
2026-02-01,8,3,236.66,-515736.99,NE26FEV1,0.0,3.2429,102.179
2026-02-01,8,3,236.66,1.5903552e7,NE26FEV3,100.0,0.0,102.179
2026-02-01,8,3,236.66,1.5903552e7,NE26FEV6,100.0,0.0,102.179
2026-02-01,8,3,84.7,-5.69184e6,S26FEV1,0.0,100.0,102.179
2026-02-01,8,3,84.7,-5.69184e6,S26FEV3,0.0,100.0,102.179
2026-02-01,8,3,84.7,-5.69184e6,S26FEV6,0.0,100.0,102.179
2026-02-01,8,3,328.81,2.2096032e7,SE26FEV1,100.0,0.0,102.179
2026-02-01,8,3,328.81,2.2096032e7,SE26FEV3,100.0,0.0,102.179
2026-02-01,8,3,328.81,2.2096032e7,SE26FEV6,100.0,0.0,102.179
2026-02-01,9,3,57.31,-3.851232e6,N26FEV1,-0.0,100.0,-37.256
2026-02-01,9,3,57.31,3.851232e6,N26FEV3,100.0,-0.0,-37.256
2026-02-01,9,3,57.31,-1.30696669e6,N26FEV6,-0.0,33.9363,-37.256
