simulacao,estagio,mes,cenario,pld_sub,geracao_sub,ticker,compra_mwm,venda_mwm,saldo_mi
1,1,2026-01-01,3,115.06,0.0,N26JAN1,100.0,-0.0,0.0
1,1,2026-01-01,3,115.06,0.0,N26JAN3,100.0,-0.0,0.0
1,1,2026-01-01,3,115.06,0.0,N26JAN6,100.0,-0.0,0.0
1,1,2026-01-01,3,250.96,4.73,NE26JAN1,100.0,-0.0,0.0
1,1,2026-01-01,3,250.96,4.73,NE26JAN3,100.0,-0.0,0.0
1,1,2026-01-01,3,250.96,4.73,NE26JAN6,100.0,-0.0,0.0
1,1,2026-01-01,3,166.5,0.0,S26JAN1,-0.0,100.0,0.0
1,1,2026-01-01,3,166.5,0.0,S26JAN3,-0.0,100.0,0.0
1,1,2026-01-01,3,166.5,0.0,S26JAN6,-0.0,100.0,0.0
1,1,2026-01-01,3,214.49,24.13,SE26JAN1,100.0,-0.0,0.0
1,1,2026-01-01,3,214.49,24.13,SE26JAN3,100.0,-0.0,0.0
1,1,2026-01-01,3,214.49,24.13,SE26JAN6,100.0,-0.0,0.0
1,2,2026-02-01,3,102.42,0.0,N26FEV1,100.0,-0.0,0.0
1,2,2026-02-01,3,102.42,0.0,N26FEV3,100.0,-0.0,0.0
1,2,2026-02-01,3,102.42,0.0,N26FEV6,100.0,-0.0,0.0
1,2,2026-02-01,3,221.3,8.91,NE26FEV1,100.0,-0.0,0.0
1,2,2026-02-01,3,221.3,8.91,NE26FEV3,100.0,-0.0,0.0
1,2,2026-02-01,3,221.3,8.91,NE26FEV6,100.0,-0.0,0.0
1,2,2026-02-01,3,194.57,0.0,S26FEV1,-0.0,100.0,0.0
1,2,2026-02-01,3,194.57,0.0,S26FEV3,-0.0,100.0,0.0
1,2,2026-02-01,3,194.57,0.0,S26FEV6,-0.0,100.0,0.0
1,2,2026-02-01,3,221.75,25.91,SE26FEV1,100.0,-0.0,0.0
1,2,2026-02-01,3,221.75,25.91,SE26FEV3,100.0,-0.0,0.0
1,2,2026-02-01,3,221.75,25.91,SE26FEV6,100.0,-0.0,0.0
1,3,2026-03-01,1,506.38,0.0,N26MAR1,100.0,-0.0,0.001
1,3,2026-03-01,1,506.38,0.0,N26MAR3,100.0,-0.0,0.001
1,3,2026-03-01,1,506.38,0.0,N26MAR6,100.0,-0.0,0.001
1,3,2026-03-01,1,785.27,10.8,NE26MAR1,100.0,-0.0,0.001
1,3,2026-03-01,1,785.27,10.8,NE26MAR3,100.0,-0.0,0.001
1,3,2026-03-01,1,785.27,10.8,NE26MAR6,100.0,-0.0,0.001
1,3,2026-03-01,1,255.18,0.0,S26MAR1,-0.0,100.0,0.001
1,3,2026-03-01,1,255.18,0.0,S26MAR3,-0.0,100.0,0.001
1,3,2026-03-01,1,255.18,0.0,S26MAR6,-0.0,100.0,0.001
1,3,2026-03-01,1,785.27,23.51,SE26MAR1,100.0,-0.0,0.001
1,3,2026-03-01,1,785.27,23.51,SE26MAR3,100.0,-0.0,0.001
1,3,2026-03-01,1,785.27,23.51,SE26MAR6,100.0,-0.0,0.001
1,4,2026-04-01,1,355.12,0.0,N26ABR1,100.0,-0.0,0.002
1,4,2026-04-01,1,355.12,0.0,N26ABR3,100.0,-0.0,0.002
